,PC1,PC2,PC3,PC4,PC5
fixed acidity,-0.23879889743158852,0.33635453631369533,0.43430130390455085,-0.1643462136216611,-0.14748037629105604
volatile acidity,-0.3807574985249643,0.11754971613475584,-0.3072594204098879,-0.21278488803062853,0.1514559876559732
citric acid,0.15238843797135598,0.1832994028070175,0.5905696738925357,0.2643003120915977,-0.15534869712389868
residual sugar,0.3459199302264202,0.32991418088311286,-0.16468842930376298,-0.16744301489279462,-0.35336185314565954
chlorides,-0.29011258616503655,0.31525799214060124,-0.016679104699941168,0.2447438550867506,0.6143910675233738
free sulfur dioxide,0.4309140076143436,0.07193259884436196,-0.13422394903552148,0.35727893856031784,0.22353229131716507
total sulfur dioxide,0.4874180604274093,0.08726627817578178,-0.10746229683580516,0.2084201434611109,0.15813360926009795
density,-0.04493663657638586,0.5840373363942193,-0.1756055533659015,-0.07272495816980214,-0.30656133911163574
pH,-0.21868644262245943,-0.15586900182120034,-0.4553241222821196,0.41455109849530264,-0.4533764283219672
sulphates,-0.2941351688494628,0.19171576905875787,0.07004248266013113,0.6405357100809169,-0.13657691888326706
alcohol,-0.10643711974242928,-0.46505769157384186,0.2611005269555781,0.10680269589632203,-0.18889204005565466
