feature,r2,vif
density,0.9371642257361978,15.914501121633677
residual sugar,0.8616678789469081,7.228979013603065
fixed acidity,0.795790230475982,4.896925364201959
alcohol,0.7908881611150723,4.78213000914927
total sulfur dioxide,0.6595861992368883,2.93760123049736
pH,0.605759317769712,2.536521584588446
free sulfur dioxide,0.5317213231181745,2.1354805362029317
volatile acidity,0.4870251856175819,1.9494134447983036
chlorides,0.3872392359160376,1.6319582757471998
citric acid,0.3781944986600989,1.6082199302597748
sulphates,0.3512921323456005,1.5415259315657817
